open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.69986E+12,37056.1,37065,37002.8,37026.4,1221.387,1.69986E+12,45241390.26,15096,443.914,16443305.97,0
1.69986E+12,37026.4,37044,36978.5,36982.5,1039.169,1.69986E+12,38449894.59,16007,373.96,13837174.25,0
1.69986E+12,36982.5,37001.1,36938.8,36943,1386.455,1.69986E+12,51248511.79,16114,625.971,23139312.97,0
1.69986E+12,36943,37025,36940.6,37017,1521.22,1.69986E+12,56256747.18,18808,938.717,34717233.81,0
1.69986E+12,37017,37043,36992,37038,972.085,1.69987E+12,35984364.58,13473,515.371,19079037.74,0
1.69987E+12,37038,37065.9,37025.4,37051.9,1160.535,1.69987E+12,42995085.85,15507,617.206,22866406.36,0
1.69987E+12,37051.8,37060.8,36989,36991.6,1068.13,1.69987E+12,39544990.15,12748,373.478,13827472.21,0
1.69987E+12,36991.7,37034.4,36981.2,37015.1,744.014,1.69987E+12,27534460.53,10636,421.743,15607730.52,0
1.69987E+12,37015,37028.2,36991,37024.7,664.496,1.69987E+12,24590306.84,9385,285.175,10553621.28,0
1.69987E+12,37024.7,37050,37002.5,37011.6,1198.64,1.69987E+12,44380696.57,12287,555.177,20556952.13,0
1.69987E+12,37011.6,37018.5,36967.5,36967.5,896.235,1.69987E+12,33153085.44,11286,242.216,8959700.515,0
1.69987E+12,36967.5,36973.7,36940.9,36949.6,953.686,1.69987E+12,35245263.76,11707,439.372,16237559.69,0
1.69987E+12,36949.6,36991.6,36941.4,36991.6,823.712,1.69987E+12,30445097.72,11978,520.111,19224387.49,0
1.69987E+12,36991.6,37026,36984.6,36998.1,803.131,1.69987E+12,29719714.16,11729,434.527,16079783.78,0
1.69987E+12,36998.1,36998.1,36877,36882.1,2012.034,1.69987E+12,74294180.55,25135,626.331,23128022.92,0
1.69987E+12,36882.1,36930,36850,36885.6,2581.708,1.69987E+12,95235034.94,29612,1382.191,50987201.14,0
1.69988E+12,36885.6,36892.3,36800,36807,2816.411,1.69988E+12,103752603.3,33222,1123.683,41399927.63,0
1.69988E+12,36807,36855.9,36710,36838.3,6032.716,1.69988E+12,221950533.5,56307,2821.713,103833313,0
1.69988E+12,36837.5,36863.2,36750,36763.9,2550.959,1.69988E+12,93872331.24,30420,1250.935,46040151.12,0
1.69988E+12,36763.9,36822.9,36662,36795.6,5825.528,1.69988E+12,214000885.1,56458,2862.923,105190511.2,0
1.69988E+12,36795.5,36873.6,36795.5,36866.1,2503.659,1.69988E+12,92235170.6,26205,1390.465,51224117.3,0
1.69988E+12,36866.1,36975.6,36865.5,36952.6,4049.796,1.69988E+12,149575392.6,38535,2404.569,88809849.8,0
1.69988E+12,36952.5,36974.4,36868,36868,2901.139,1.69988E+12,107140724.6,25270,1288.073,47567114.46,0
1.69988E+12,36868,36927.3,36788.8,36863.9,3977.536,1.69988E+12,146616053.8,37769,2248.547,82887319.62,0
1.69988E+12,36864,36959.1,36842.1,36853,2298.215,1.69988E+12,84803651.14,26693,1306.036,48203886.07,0
1.69988E+12,36853,36875.3,36834,36855.8,970.871,1.69988E+12,35780380.41,15011,539.966,19900246.68,0
1.69988E+12,36855.8,36923,36852.8,36892.4,1499.874,1.69988E+12,55342668.36,17446,773.443,28537269.83,0
1.69988E+12,36892.5,36940.9,36858,36863,2182.202,1.69989E+12,80519186.9,24975,960.082,35427233.67,0
1.69989E+12,36863,36903.2,36682,36703.8,4759.903,1.69989E+12,175026178.7,51833,1970.646,72463478.47,0
